Firmware v0.1
<timeMS>, <accelX>, <accelY>, <accelZ>, <gyroX>, <gyroY>, <gyroZ>, <magX>, <magY>, <magZ>
2096, 0.57, 0.61, -0.49, -33.90, -0.79, 25.43, -46.51, -27.46, -9.45
2105, 0.58, 0.71, -0.48, -29.82, -1.16, 21.16, -45.61, -29.86, -8.85
2114, 0.55, 0.53, -0.41, -20.73, -2.87, 22.62, -45.31, -29.41, -10.35
2124, 0.58, 0.68, -0.42, -3.23, -6.83, 13.54, -45.76, -28.81, -9.75
2133, 0.59, 0.67, -0.42, 14.94, -7.62, 11.40, -46.06, -30.46, -10.35
2142, 0.58, 0.64, -0.51, 28.35, -6.10, 10.49, -46.51, -30.76, -11.25
2151, 0.62, 0.59, -0.47, 43.29, 0.91, 8.72, -43.81, -31.66, -11.40
2160, 0.65, 0.79, -0.49, 45.61, 6.71, 7.80, -43.81, -31.66, -11.40
2170, 0.65, 0.77, -0.48, 20.79, 12.74, 21.65, -44.56, -31.66, -10.65
2202, 0.61, 0.57, -0.44, -32.87, 18.29, 33.35, -43.51, -28.66, -10.65
2211, 0.62, 0.43, -0.51, -34.88, 12.87, 28.66, -42.76, -30.16, -11.40
2220, 0.63, 0.68, -0.61, -31.34, 7.44, 15.30, -42.91, -31.51, -11.25
2230, 0.59, 0.58, -0.40, -42.62, 8.84, 7.01, -42.91, -31.51, -11.25
2239, 0.62, 0.76, -0.39, -51.40, 6.65, 2.50, -44.56, -28.66, -12.00
2248, 0.60, 0.69, -0.38, -41.59, -0.85, 7.50, -42.61, -30.01, -11.25
2257, 0.59, 0.68, -0.44, -30.37, -5.12, 8.72, -43.66, -30.31, -12.60
2266, 0.58, 0.71, -0.43, -29.63, -1.28, 9.27, -43.51, -29.41, -11.40
2276, 0.65, 0.73, -0.46, -26.71, 3.54, 15.18, -42.76, -28.66, -11.70
2285, 0.62, 0.66, -0.43, -33.66, 7.32, 24.88, -43.21, -31.06, -11.55
2294, 0.65, 0.61, -0.54, -32.74, 5.55, 27.68, -45.61, -30.16, -12.45
2303, 0.62, 0.61, -0.45, -28.96, 4.82, 23.05, -44.56, -29.41, -11.70
2313, 0.61, 0.56, -0.41, -21.10, 4.88, 18.05, -42.91, -29.56, -12.60
2322, 0.63, 0.74, -0.45, -4.82, 1.10, 14.33, -43.51, -29.86, -11.70
2354, 0.63, 0.64, -0.46, 4.88, 1.34, 17.01, -43.51, -30.46, -9.90
2363, 0.63, 0.55, -0.49, 15.61, 6.59, 17.74, -45.16, -28.51, -12.30
2372, 0.61, 0.62, -0.48, 28.11, 15.98, 16.77, -44.71, -29.56, -11.55
2382, 0.60, 0.64, -0.48, 34.15, 26.77, 16.52, -45.16, -30.01, -11.85
2391, 0.63, 0.65, -0.33, 28.41, 36.83, 16.83, -46.36, -27.91, -13.50
2400, 0.62, 0.64, -0.20, 42.56, 32.50, 20.43, -44.86, -27.91, -13.50
2410, 0.66, 0.72, -0.33, 63.54, 16.65, 30.73, -44.86, -29.11, -11.70
2419, 0.65, 0.54, -0.43, 59.94, 10.85, 38.35, -46.06, -29.11, -10.95
2428, 0.70, 0.48, -0.53, 50.49, 13.17, 33.72, -45.16, -27.76, -11.55
2437, 0.67, 0.50, -0.48, 47.62, 13.84, 20.98, -44.11, -30.16, -12.45
2447, 0.70, 0.66, -0.47, 57.26, 8.60, 6.34, -46.21, -29.56, -11.85
2456, 0.67, 0.62, -0.49, 61.40, 3.23, 2.56, -43.96, -29.56, -11.85
2465, 0.68, 0.64, -0.46, 57.01, 3.11, -2.20, -43.96, -29.56, -12.60
2474, 0.66, 0.66, -0.44, 35.00, 5.91, -3.11, -43.81, -27.61, -12.75
2506, 0.66, 0.63, -0.44, 23.29, 6.83, -2.01, -44.86, -29.11, -11.70
2516, 0.66, 0.62, -0.47, 19.76, 6.59, -0.55, -44.86, -29.41, -10.65
2525, 0.64, 0.58, -0.50, 17.20, 7.62, -0.67, -45.61, -28.36, -13.20
2534, 0.70, 0.58, -0.45, 20.30, 8.72, -3.29, -45.61, -28.36, -12.45
2543, 0.68, 0.59, -0.50, 32.38, 4.02, -4.51, -44.86, -29.41, -11.70
2552, 0.69, 0.60, -0.55, 17.62, 1.59, -3.48, -43.66, -28.51, -12.90
2562, 0.67, 0.63, -0.54, 1.34, 2.38, -3.23, -44.86, -30.91, -13.20
2571, 0.65, 0.66, -0.51, -14.27, 2.87, -2.26, -45.31, -30.16, -10.35
2580, 0.66, 0.62, -0.48, -14.15, -0.06, -5.12, -45.31, -30.16, -10.35
2589, 0.63, 0.61, -0.46, -17.50, -0.98, -7.62, -45.31, -27.61, -12.45
2598, 0.67, 0.62, -0.46, -12.01, -3.17, -9.94, -44.86, -29.11, -11.40
2607, 0.65, 0.62, -0.47, -3.35, -5.18, -10.12, -45.46, -28.81, -10.20
2617, 0.76, 0.75, -0.44, -7.01, -3.90, -10.91, -44.86, -28.36, -9.90
2626, 0.65, 0.56, -0.47, -20.00, -2.01, -10.91, -45.76, -30.01, -10.80
2658, 0.68, 0.60, -0.49, -14.39, -1.89, -14.09, -46.06, -29.86, -8.85
2667, 0.67, 0.60, -0.45, -17.87, -2.44, -13.54, -45.76, -30.76, -7.65
2676, 0.65, 0.61, -0.46, -15.73, -6.10, -12.93, -46.21, -30.31, -9.00
2685, 0.66, 0.62, -0.47, -15.06, -8.05, -10.67, -47.26, -30.31, -10.20
2695, 0.66, 0.63, -0.46, -16.34, -8.11, -9.57, -47.41, -29.41, -8.55
2704, 0.65, 0.62, -0.46, -14.88, -8.29, -9.09, -47.11, -29.86, -9.60
2713, 0.66, 0.63, -0.45, -9.27, -7.07, -9.57, -47.11, -30.16, -7.50
2722, 0.66, 0.62, -0.47, -5.49, -5.61, -10.43, -47.86, -30.16, -8.85
2731, 0.65, 0.62, -0.49, 4.63, -4.33, -11.22, -48.76, -30.01, -9.45
2740, 0.67, 0.58, -0.50, 12.99, -0.24, -13.54, -44.86, -30.46, -8.55
2749, 0.67, 0.64, -0.51, 14.63, 5.00, -14.45, -44.86, -30.46, -8.55
2759, 0.68, 0.66, -0.47, 21.28, 7.38, -14.88, -46.66, -29.86, -8.25
2768, 0.58, 0.64, -0.45, 20.55, 9.39, -13.35, -45.31, -29.86, -8.25
2777, 0.65, 0.71, -0.41, 15.18, 10.73, -10.24, -46.96, -29.26, -9.45
2809, 0.64, 0.70, -0.40, 5.79, 0.18, 4.57, -47.11, -30.46, -7.50
2818, 0.65, 0.68, -0.45, 2.13, -4.02, 10.18, -46.51, -30.31, -7.95
2827, 0.66, 0.63, -0.44, -4.45, -4.33, 12.38, -47.71, -29.26, -7.95
2837, 0.66, 0.65, -0.44, -10.37, -3.66, 13.05, -47.41, -30.46, -7.50
2846, 0.65, 0.64, -0.44, -9.39, -3.11, 12.62, -46.96, -31.51, -7.35
2855, 0.65, 0.66, -0.45, -9.63, -2.32, 11.71, -48.31, -31.81, -6.60
2864, 0.65, 0.69, -0.43, -10.91, -1.46, 12.20, -48.61, -31.96, -5.70
2873, 0.66, 0.68, -0.42, -22.32, -0.24, 12.26, -48.61, -29.86, -6.45
2882, 0.64, 0.64, -0.45, -45.37, 3.41, 10.37, -47.41, -31.96, -6.00
2892, 0.64, 0.61, -0.48, -76.16, 7.74, 6.71, -48.76, -30.01, -5.55
2901, 0.66, 0.53, -0.51, -76.71, 9.09, 4.02, -49.06, -30.01, -6.60
2910, 0.65, 0.54, -0.57, -48.23, 9.21, 1.10, -49.06, -30.01, -6.60
2919, 0.67, 0.56, -0.52, -33.84, 12.20, -0.18, -49.51, -31.06, -5.85
2928, 0.67, 0.58, -0.38, -22.44, 12.44, -3.48, -49.96, -30.46, -6.75
2960, 0.65, 0.60, -0.43, -20.55, -2.74, -7.99, -50.41, -29.11, -5.70
2970, 0.66, 0.61, -0.49, -28.96, -2.20, -10.61, -50.41, -29.11, -5.70
2979, 0.67, 0.63, -0.47, -21.16, 0.67, -10.91, -50.86, -28.51, -5.25
2988, 0.66, 0.69, -0.43, -24.63, 4.09, -10.49, -52.51, -27.91, -5.70
2997, 0.68, 0.70, -0.46, -25.43, 5.00, -7.99, -52.81, -28.51, -6.90
3006, 0.68, 0.75, -0.42, -11.77, 4.70, -2.13, -52.81, -27.46, -5.85
3015, 0.66, 0.72, -0.41, -3.54, 1.71, 7.38, -52.81, -28.51, -6.30
3024, 0.65, 0.58, -0.41, -25.37, 0.91, 15.06, -54.61, -26.71, -6.60
3033, 0.63, 1.02, -0.34, -41.04, 4.09, 0.06, -52.51, -26.56, -6.75
3043, 0.71, 0.68, -0.46, -23.48, 4.70, 19.63, -53.71, -27.16, -7.50
3052, 0.66, 0.68, -0.46, -6.77, 8.78, 25.98, -53.71, -25.81, -5.40
3061, 0.60, 0.60, -0.38, 11.71, 11.16, 31.52, -53.71, -27.61, -6.00
3070, 0.36, -0.90, -0.35, -3.35, 9.51, 2.13, -54.91, -27.01, -4.50
3079, 0.78, 1.38, -0.43, -1.46, 6.04, -68.35, -54.91, -27.01, -4.50
3111, 0.64, 0.68, -0.45, -19.88, 15.79, 3.23, -57.91, -25.21, -1.95
3186, 0.50, 0.93, -0.21, 6.22, -5.30, -32.26, -60.02, -22.66, -2.70
3195, 0.49, 0.94, -0.18, 1.34, -15.30, -27.99, -60.92, -22.51, -2.25
3206, 0.50, 0.91, -0.16, 12.56, -31.34, -28.96, -61.37, -20.56, -3.30
3215, 0.47, 0.66, -0.31, 24.21, -47.87, -32.74, -61.07, -20.41, -4.20
3226, 0.52, 0.62, -0.28, -3.72, -41.77, -51.28, -60.77, -20.11, -3.75
3235, 0.46, 0.74, -0.17, 4.63, -37.68, -73.23, -61.82, -18.60, -3.45
3246, 0.49, 0.71, -0.36, 26.10, -33.66, -86.71, -61.82, -20.11, -4.50
3255, 0.33, 0.93, -0.40, 39.57, -30.73, -94.82, -62.42, -18.00, -3.90
3266, 0.35, 1.08, -0.32, 13.78, -22.20, -92.62, -63.17, -16.65, -5.40
3276, 0.26, 0.89, -0.43, 27.13, -25.98, -77.26, -62.57, -16.05, -5.55
3285, 0.35, 1.05, -0.26, 29.70, -26.83, -64.57, -62.72, -17.25, -6.00
3296, 0.36, 0.96, -0.40, 37.13, -29.27, -44.94, -64.22, -14.70, -6.00
3305, 0.39, 1.00, -0.35, 39.09, -25.43, -33.05, -63.47, -16.65, -6.00
3379, 0.35, 0.94, -0.36, 37.26, -23.90, -25.24, -62.57, -16.05, -8.40
3387, 0.33, 0.94, -0.29, 31.52, -19.27, -20.67, -61.52, -15.00, -9.00
3396, 0.33, 0.97, -0.36, 44.39, -19.15, -13.11, -63.02, -16.35, -8.70
3405, 0.32, 0.98, -0.36, 50.79, -12.99, -3.23, -61.37, -16.20, -8.25
3414, 0.36, 0.95, -0.33, 24.09, 0.24, 11.40, -62.57, -14.55, -8.70
3423, 0.40, 0.97, -0.39, -5.91, 5.18, 14.82, -63.62, -14.25, -8.40
3431, 0.38, 0.90, -0.38, -7.32, 11.22, 18.41, -64.37, -15.60, -8.40
3440, 0.32, 0.84, -0.35, -2.93, 19.33, 15.98, -63.92, -15.15, -6.00
3449, 0.37, 0.89, -0.34, -12.62, 21.95, 4.39, -63.92, -15.15, -6.00
3458, 0.42, 0.90, -0.38, -26.34, 18.35, -4.76, -63.62, -16.35, -7.95
3466, 0.36, 0.87, -0.35, -36.22, 15.37, -12.74, -65.12, -14.55, -7.65
3475, 0.37, 0.83, -0.35, -47.13, 10.85, -23.66, -61.82, -14.55, -8.40
3484, 0.27, 0.90, -0.42, -45.55, -2.20, -35.67, -63.32, -16.05, -9.75
3493, 0.29, 0.88, -0.42, -23.66, -12.80, -32.87, -63.47, -13.35, -9.60
3525, 0.31, 0.85, -0.40, 16.71, -11.10, -19.70, -61.07, -14.55, -9.45
3534, 0.31, 0.89, -0.42, 48.60, -11.16, -11.52, -59.71, -14.55, -10.80
3543, 0.31, 0.87, -0.44, 65.49, -18.11, -1.83, -62.42, -16.65, -7.80
3552, 0.33, 0.90, -0.47, 76.59, -20.43, 8.84, -62.42, -17.25, -7.20
3560, 0.36, 0.95, -0.45, 77.74, -21.52, 19.94, -64.07, -17.85, -5.55
3569, 0.38, 1.00, -0.42, 61.65, -23.96, 31.89, -64.07, -17.85, -5.55
3578, 0.38, 1.06, -0.31, 16.16, -25.91, 44.45, -62.27, -17.55, -6.60
3587, 0.42, 1.00, -0.28, -58.60, -24.76, 62.93, -62.27, -18.30, -6.60
3596, 0.39, 0.90, -0.33, -134.63, -17.44, 73.41, -64.37, -18.30, -6.30
3605, 0.34, 0.81, -0.40, -174.88, -11.16, 75.98, -62.27, -17.85, -5.55
3614, 0.31, 0.71, -0.40, -158.05, -10.49, 72.13, -62.12, -18.75, -5.70
3622, 0.33, 0.74, -0.38, -112.80, -16.28, 60.85, -63.17, -17.70, -6.00
3631, 0.37, 0.79, -0.34, -69.76, -23.05, 51.04, -61.82, -17.85, -7.35
3640, 0.38, 0.82, -0.31, -42.20, -24.88, 45.98, -62.42, -19.20, -5.70
3668, 0.40, 0.84, -0.31, -27.62, -24.57, 45.43, -59.26, -19.35, -5.55
3677, 0.42, 0.85, -0.34, -11.28, -24.70, 43.72, -60.02, -18.30, -6.60
3686, 0.43, 0.90, -0.34, 6.52, -24.57, 39.39, -60.62, -19.50, -6.00
3695, 0.46, 0.96, -0.30, 6.28, -27.56, 38.90, -60.92, -19.95, -6.75
3704, 0.47, 0.94, -0.24, -17.62, -27.99, 42.38, -61.52, -18.90, -7.35
3712, 0.45, 0.89, -0.28, -39.51, -24.33, 40.61, -60.62, -19.20, -7.80
3721, 0.45, 0.88, -0.29, -36.10, -23.84, 33.84, -60.92, -19.20, -9.30
3730, 0.48, 0.91, -0.30, -15.67, -21.89, 25.49, -60.17, -19.50, -9.90
3739, 0.50, 0.93, -0.27, 2.62, -18.29, 18.78, -60.17, -19.50, -9.90
3748, 0.49, 0.92, -0.26, 15.61, -13.54, 11.95, -59.86, -19.20, -8.85
3757, 0.48, 0.92, -0.27, 30.18, -8.90, 5.49, -58.06, -18.45, -10.35
3765, 0.47, 0.89, -0.30, 49.63, -6.65, 0.30, -59.56, -18.75, -10.35
3774, 0.47, 0.88, -0.32, 72.50, -7.20, -5.91, -58.81, -19.20, -8.55
3783, 0.46, 0.87, -0.36, 92.32, -7.80, -12.07, -58.96, -20.41, -9.00
3815, 0.48, 0.95, -0.37, 98.41, -7.44, -13.96, -58.51, -20.41, -6.90
3824, 0.52, 1.03, -0.30, 64.70, -5.06, -4.82, -60.92, -19.20, -6.75
3833, 0.50, 0.95, -0.29, -4.45, 1.71, 10.73, -60.62, -20.26, -8.85
3841, 0.46, 0.89, -0.33, -54.15, 8.66, 13.72, -58.81, -19.50, -8.25
3850, 0.46, 0.86, -0.34, -76.71, 8.96, 16.28, -60.62, -19.20, -8.25
3859, 0.44, 0.81, -0.32, -77.01, 6.40, 16.22, -60.62, -19.20, -8.25
3868, 0.42, 0.82, -0.33, -58.60, 2.74, 13.96, -60.47, -20.11, -9.45
3876, 0.43, 0.81, -0.32, -35.12, -0.73, 12.26, -59.11, -19.95, -6.45
3885, 0.44, 0.83, -0.31, -14.88, -2.38, 11.28, -59.71, -20.41, -8.40
3894, 0.44, 0.84, -0.31, 4.51, -1.28, 8.35, -59.56, -20.56, -7.50
3903, 0.45, 0.86, -0.31, 19.94, 0.55, 5.67, -61.07, -21.16, -7.35
3911, 0.46, 0.87, -0.31, 25.67, 3.35, 4.39, -59.71, -21.61, -6.30
3920, 0.47, 0.88, -0.30, 26.04, 5.67, 4.39, -59.71, -21.16, -8.40
3929, 0.47, 0.87, -0.27, 15.30, 5.79, 6.46, -59.71, -21.16, -8.40
3961, 0.45, 0.86, -0.31, 2.13, 7.01, 9.02, -59.86, -20.26, -5.40
3970, 0.46, 0.84, -0.31, -2.32, 6.95, 9.57, -60.02, -20.11, -6.90
3978, 0.46, 0.86, -0.32, -1.89, 5.06, 10.24, -60.02, -20.11, -6.90
3987, 0.47, 0.86, -0.31, -8.66, 4.27, 12.99, -60.92, -20.56, -5.40
3996, 0.47, 0.88, -0.32, -14.76, 4.94, 14.63, -61.67, -18.75, -5.40
4004, 0.49, 0.92, -0.35, -11.89, 4.82, 14.63, -60.47, -20.41, -4.50
4013, 0.52, 0.96, -0.33, -5.79, 4.51, 11.59, -61.07, -20.86, -4.20
4022, 0.54, 0.97, -0.30, -12.99, 3.29, 8.17, -61.52, -19.65, -3.00
4031, 0.53, 0.98, -0.30, -31.71, 4.82, 4.09, -61.07, -21.16, -2.40
4039, 0.52, 0.98, -0.32, -43.54, 5.85, 2.07, -61.67, -19.95, -3.90
4048, 0.51, 0.91, -0.29, -56.28, 1.04, 7.80, -61.67, -19.95, -3.90
4057, 0.51, 0.89, -0.22, -75.85, 0.43, 1.77, -61.67, -20.26, -2.55
4065, 0.43, 0.81, -0.22, -87.93, -0.06, -0.67, -62.72, -19.95, -1.80
4074, 0.39, 0.76, -0.23, -79.39, -1.65, -1.59, -60.47, -20.11, -3.00
4083, 0.40, 0.79, -0.23, -58.23, -4.76, -3.29, -60.62, -21.31, -4.95
4115, 0.42, 0.85, -0.22, -33.78, -6.34, -4.45, -60.62, -20.26, -2.85
4124, 0.44, 0.86, -0.23, -18.60, -4.82, -0.91, -61.52, -20.41, -2.40
4133, 0.43, 0.83, -0.22, -8.54, -1.83, 0.06, -61.37, -19.50, -3.60
4141, 0.43, 0.86, -0.18, -1.04, 0.18, 0.79, -62.12, -18.75, -4.65
4150, 0.45, 0.85, -0.16, -6.10, 2.38, 2.99, -62.27, -18.90, -2.40
4159, 0.48, 0.86, -0.19, -14.09, 3.17, 1.46, -62.27, -18.90, -2.40
4167, 0.32, 0.84, -0.21, -24.76, -13.17, 6.22, -64.07, -19.65, -3.00
4176, 0.39, 0.73, -0.17, -44.94, -49.70, 17.74, -61.52, -19.35, -4.50
4185, 0.47, 0.84, -0.16, -36.52, -41.40, 6.71, -62.12, -20.26, -4.95
4194, 0.42, 0.85, -0.21, -32.80, -43.60, 2.44, -62.57, -18.60, -4.80
4202, 0.44, 0.83, -0.23, -28.66, -47.68, 3.48, -60.62, -19.20, -5.40
4211, 0.41, 0.84, -0.24, -19.09, -45.79, 3.60, -61.52, -19.35, -4.80
4220, 0.42, 0.88, -0.20, -16.28, -41.52, 6.95, -62.57, -18.90, -3.45
4229, 0.44, 0.87, -0.21, -18.05, -41.77, 14.33, -62.57, -18.90, -3.45
4260, 0.45, 0.84, -0.26, 0.49, -38.90, 13.96, -62.12, -21.31, -2.25
4269, 0.45, 0.85, -0.22, 6.52, -29.45, 12.74, -61.07, -21.16, -4.50
4278, 0.45, 0.86, -0.25, -8.72, -23.35, 15.73, -61.07, -21.16, -4.50
4287, 0.46, 0.86, -0.25, -17.74, -19.33, 19.21, -62.57, -18.90, -4.20
4296, 0.47, 0.85, -0.24, -24.51, -17.62, 21.22, -61.07, -20.11, -5.25
4304, 0.48, 0.87, -0.24, -31.77, -15.98, 20.98, -62.42, -19.20, -6.00
4313, 0.50, 0.89, -0.24, -30.91, -13.60, 18.90, -61.52, -19.65, -6.60
4322, 0.50, 0.92, -0.24, -21.77, -10.85, 15.06, -63.17, -18.45, -5.40
4331, 0.52, 0.95, -0.24, -8.35, -7.13, 11.83, -61.07, -20.41, -5.55
4340, 0.57, 0.87, -0.26, 2.13, -2.99, 5.49, -61.52, -20.11, -4.80
4348, 0.51, 0.93, -0.23, 18.05, -7.87, -9.27, -61.52, -20.11, -4.80
4357, 0.52, 0.89, -0.21, 20.00, -9.57, -11.22, -62.42, -18.75, -4.65
4366, 0.51, 0.87, -0.22, 18.78, -8.05, -13.90, -61.07, -17.85, -4.80
4375, 0.48, 0.83, -0.20, 15.24, -5.18, -13.72, -62.42, -18.00, -4.95
4406, 0.46, 0.83, -0.24, 15.91, -12.56, -18.05, -60.77, -19.65, -6.30
4415, 0.49, 0.84, -0.22, 14.76, -8.23, -19.88, -60.92, -19.50, -5.70
4424, 0.48, 0.86, -0.21, 9.39, 4.45, -17.32, -62.72, -18.45, -7.20
4432, 0.45, 0.86, -0.24, 8.29, 7.80, -14.88, -60.47, -18.30, -6.60
4441, 0.46, 0.87, -0.24, 11.95, 6.34, -13.60, -59.71, -18.60, -6.30
4450, 0.45, 0.87, -0.22, 18.72, 1.46, -11.77, -61.82, -18.30, -7.95
4459, 0.44, 0.89, -0.25, 27.07, -3.54, -8.60, -61.82, -18.30, -7.95
4467, 0.46, 0.89, -0.23, 29.57, -3.23, -3.17, -60.47, -19.65, -7.35
4476, 0.46, 0.89, -0.26, 28.96, -2.87, -2.20, -63.32, -20.11, -5.85
4485, 0.47, 0.92, -0.28, 26.95, -2.38, -0.43, -62.72, -19.50, -6.45
4493, 0.51, 0.98, -0.27, 13.54, -2.80, -0.55, -62.12, -19.95, -4.95
4502, 0.48, 0.92, -0.27, -0.55, -2.01, -0.73, -61.67, -19.95, -5.40
4511, 0.46, 0.90, -0.28, -1.34, -1.22, -3.23, -60.92, -18.45, -6.45
4519, 0.46, 0.90, -0.27, 2.93, 1.52, -6.10, -60.47, -20.11, -6.30
4551, 0.45, 0.87, -0.24, 6.22, 4.02, -6.65, -59.56, -20.56, -4.65
4560, 0.24, 0.61, -0.24, 15.30, 6.22, -9.94, -60.47, -18.60, -7.95
4568, 0.49, 0.85, -0.11, -5.91, 63.78, 22.26, -60.47, -18.60, -7.95
4577, 0.40, 0.91, -0.28, -2.87, 5.85, 11.16, -61.37, -18.45, -7.80
4586, 0.48, 0.88, -0.21, -0.24, 19.09, 13.29, -60.62, -18.45, -7.50
4595, 0.42, 0.87, -0.28, 10.73, 13.60, 2.87, -61.37, -19.20, -7.20
4603, 0.42, 0.87, -0.29, 17.44, 2.38, -3.05, -61.52, -19.35, -6.90
4612, 0.44, 0.89, -0.25, 21.59, 2.56, -1.22, -60.47, -19.35, -6.90
4621, 0.46, 0.90, -0.26, 10.18, 0.24, 6.04, -60.92, -19.50, -8.25
4629, 0.46, 0.89, -0.26, 2.38, -3.96, 5.49, -60.02, -17.85, -8.70
4638, 0.46, 0.85, -0.25, 9.09, -7.01, -1.10, -60.02, -17.85, -8.70
4647, 0.47, 0.89, -0.23, 15.37, -11.04, -5.55, -62.27, -18.30, -8.70
4656, 0.52, 0.88, -0.20, -1.83, -12.80, -1.89, -60.17, -17.25, -8.85
4664, 0.48, 0.86, -0.24, -14.70, -13.11, -1.10, -61.07, -17.55, -8.70
4696, 0.44, 0.86, -0.31, -8.29, -14.02, -3.05, -60.47, -19.65, -8.40
4705, 0.45, 0.85, -0.30, -0.85, -17.80, -4.21, -58.81, -18.00, -9.30
4713, 0.47, 0.86, -0.31, 8.17, -21.71, -6.10, -60.77, -17.85, -11.25
4722, 0.46, 0.86, -0.32, 17.68, -21.04, -6.95, -61.82, -17.85, -9.75
4731, 0.46, 0.85, -0.32, 21.52, -17.62, -5.06, -61.52, -17.55, -11.55
4740, 0.46, 0.88, -0.29, 24.51, -15.98, -4.09, -58.51, -20.11, -9.00
